deal_id,announce_date,target,acquirer_raw,acquirer_canonical,acquirer_type,deal_type,sector,value_brl_mm,stake_pct,source,source_url,notes
43,2026-04-13,Oceano Agro,Phi Ventures,Phi Ventures,VC,VC,Agronegocio,30,12,SYNTHETIC-EXAMPLE,https://example.com/synthetic/43,Amostra sintetica. Consolidacao setorial; multiplo aparentemente esticado.
44,2026-04-17,Cerrado Agro,Sigma Investimentos,Sigma Investimentos,PE,M&A,Agronegocio,80,51,SYNTHETIC-EXAMPLE,https://example.com/synthetic/44,Amostra sintetica. Credito privado; foco em geracao de caixa do alvo.
45,2026-04-18,Horizonte Varejo,Alpha Cap. Partners,Alpha Capital Partners,PE,M&A,Varejo,,60,SYNTHETIC-EXAMPLE,https://example.com/synthetic/45,Amostra sintetica. Valor nao divulgado pelas partes.
46,2026-04-19,Tucano Varejo,Alpha Capital,Alpha Capital Partners,PE,M&A,Varejo,140,100,SYNTHETIC-EXAMPLE,https://example.com/synthetic/46,Amostra sintetica. Credito privado; foco em geracao de caixa do alvo.
47,2026-04-29,Oceano Agro,Holding Zeta,Holding Zeta,Estrategico,PE,Agronegocio,230,100,SYNTHETIC-EXAMPLE,https://example.com/synthetic/47,Amostra sintetica. Plataforma de buy-and-build; observar alavancagem pos-deal.
48,2026-05-02,Cerrado Agro,Grupo Delta S.A.,Grupo Delta,Estrategico,VC,Agronegocio,12,17,SYNTHETIC-EXAMPLE,https://example.com/synthetic/48,Amostra sintetica. Situacao especial; tese de turnaround.
49,2026-05-05,Horizonte Foods,Alpha Capital,Alpha Capital Partners,PE,M&A,Alimentos e bebidas,140,100,SYNTHETIC-EXAMPLE,https://example.com/synthetic/49,Amostra sintetica. Rodada minoritaria; sem controle.
50,2026-05-07,Verde Educa,Gamma Capital,Gamma Capital,PE,divida,Educacao,24,,SYNTHETIC-EXAMPLE,https://example.com/synthetic/50,Amostra sintetica. Credito privado; foco em geracao de caixa do alvo.
51,2026-05-19,Tucano Varejo,Beta Equity,Beta Equity,PE,M&A,Varejo,220,51,SYNTHETIC-EXAMPLE,https://example.com/synthetic/51,Amostra sintetica.
52,2026-06-07,Raizes Servicos,Beta Equity Ltda,Beta Equity,PE,PE,Servicos,93,60,SYNTHETIC-EXAMPLE,https://example.com/synthetic/52,Amostra sintetica. Situacao especial; tese de turnaround.
53,2026-06-09,Guara Educa,FO Ikaros,Family Office Ikaros,FO,divida,Educacao,,,SYNTHETIC-EXAMPLE,https://example.com/synthetic/53,Amostra sintetica. Valor nao divulgado pelas partes.
54,2026-06-12,Buriti Servicos,Sigma Investimentos,Sigma Investimentos,PE,M&A,Servicos,24,60,SYNTHETIC-EXAMPLE,https://example.com/synthetic/54,Amostra sintetica. Situacao especial; tese de turnaround.
55,2026-06-22,Aurora Energia,Alpha Cap. Partners,Alpha Capital Partners,PE,M&A,Energia,68,70,SYNTHETIC-EXAMPLE,https://example.com/synthetic/55,Amostra sintetica. Credito privado; foco em geracao de caixa do alvo.
